Sample in Buffer,Sample in Window,TRIGGER,w_fir_q[15:0],w_fir_i[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
816,816,0,ff97,fe25
817,817,0,ff62,fe38
818,818,0,ff2f,fe52
819,819,0,fefe,fe73
820,820,0,fecf,fe9a
821,821,0,fea5,fec7
822,822,0,fe7e,fef7
823,823,0,fe5e,ff2b
824,824,0,fe43,ff62
825,825,0,fe31,ff9b
826,826,0,fe26,ffd6
827,827,0,fe24,0011
828,828,0,fe2a,004d
829,829,0,fe38,0088
830,830,0,fe4f,00c1
831,831,0,fe6b,00f7
832,832,0,fe8e,0129
833,833,0,feb6,0156
834,834,0,fee2,017c
835,835,0,ff12,019d
836,836,0,ff45,01b6
837,837,0,ff7b,01c9
838,838,0,ffb3,01d4
839,839,0,ffee,01d9
840,840,0,002b,01d8
841,841,0,0069,01d0
842,842,0,00a7,01c3
843,843,0,00e5,01af
844,844,0,011f,0195
845,845,0,0156,0175
846,846,0,0187,014f
847,847,0,01b2,0123
848,848,0,01d4,00f2
849,849,0,01ee,00bb
850,850,0,01fe,0081
851,851,0,0204,0043
852,852,0,0201,0004
853,853,0,01f6,ffc4
854,854,0,01e2,ff85
855,855,0,01c6,ff49
856,856,0,01a4,ff10
857,857,0,017c,fedd
858,858,0,014e,feae
859,859,0,011d,fe87
860,860,0,00e9,fe66
861,861,0,00b4,fe4c
862,862,0,007d,fe39
863,863,0,0046,fe2d
864,864,0,0010,fe27
865,865,0,ffdb,fe28
866,866,0,ffa8,fe2e
867,867,0,ff76,fe3a
868,868,0,ff46,fe4b
869,869,0,ff18,fe63
870,870,0,feec,fe80
871,871,0,fec1,fea3
872,872,0,fe99,fecc
873,873,0,fe73,fefb
874,874,0,fe52,ff30
875,875,0,fe36,ff6a
876,876,0,fe20,ffa8
877,877,0,fe12,ffea
878,878,0,fe0e,002e
879,879,0,fe12,0073
880,880,0,fe21,00b7
881,881,0,fe38,00f9
882,882,0,fe5a,0137
883,883,0,fe83,0170
884,884,0,feb4,01a2
885,885,0,feeb,01cc
