Sample in Buffer,Sample in Window,TRIGGER,w_adc[15:0],w_fft_data_q[26:0],w_mag[26:0],w_fft_data_i[26:0],w_fft_tlast_out
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX
333,333,0,0,7fff432,17706,2812,0
334,334,0,951,7fff4b0,21170,2733,0
335,335,0,588,7fff528,26262,2650,0
336,336,0,-588,7fff587,34572,2578,0
337,337,0,-951,7fff5ec,50402,2499,0
338,338,0,0,7fff648,92671,2437,0
339,339,0,951,7fff693,557475,2368,0
340,340,0,588,7fff6eb,139738,2324,0
341,341,0,-588,7fff736,62259,2264,0
342,342,0,-951,7fff77e,40132,2215,0
343,343,0,0,7fff7c2,29645,2158,0
344,344,0,951,7fff807,23535,2121,0
345,345,0,588,7fff83b,19518,2076,0
346,346,0,-588,7fff872,16693,2045,0
347,347,0,-951,7fff8a9,14599,2009,0
348,348,0,0,7fff8df,12969,1958,0
349,349,0,951,7fff90c,11687,1931,0
350,350,0,588,7fff93e,10623,1893,0
351,351,0,-588,7fff971,9746,1877,0
352,352,0,-951,7fff997,9015,1838,0
353,353,0,0,7fff9bb,8382,1810,0
354,354,0,951,7fff9e4,7845,1777,0
355,355,0,588,7fffa0a,7352,1756,0
356,356,0,-588,7fffa2e,6941,1727,0
357,357,0,-951,7fffa4b,6576,1708,0
358,358,0,0,7fffa7a,6249,1694,0
359,359,0,951,7fffa95,5940,1663,0
360,360,0,588,7fffaaa,5670,1652,0
361,361,0,-588,7fffac9,5416,1621,0
362,362,0,-951,7fffaef,5191,1610,0
363,363,0,0,7fffb07,4988,1586,0
364,364,0,951,7fffb2d,4807,1571,0
365,365,0,588,7fffb33,4636,1550,0
366,366,0,-588,7fffb5c,4469,1536,0
367,367,0,-951,7fffb63,4331,1510,0
368,368,0,0,7fffb85,4182,1506,0
369,369,0,951,7fffb99,4055,1488,0
370,370,0,588,7fffbaf,3937,1472,0
371,371,0,-588,7fffbc4,3828,1462,0
372,372,0,-951,7fffbdc,3717,1444,0
373,373,0,0,7fffbe9,3617,1436,0
374,374,0,951,7fffbff,3514,1416,0
375,375,0,588,7fffc14,3427,1412,0
376,376,0,-588,7fffc2d,3348,1390,0
377,377,0,-951,7fffc34,3277,1384,0
378,378,0,0,7fffc3d,3203,1360,0
379,379,0,951,7fffc5d,3117,1370,0
380,380,0,588,7fffc69,3058,1351,0
381,381,0,-588,7fffc78,2986,1342,0
382,382,0,-951,7fffc81,2932,1330,0
383,383,0,0,7fffc94,2869,1318,0
384,384,0,951,7fffca7,2817,1321,0
385,385,0,588,7fffcb4,2756,1301,0
386,386,0,-588,7fffcc5,2709,1294,0
387,387,0,-951,7fffccc,2656,1283,0
388,388,0,0,7fffcd7,2617,1274,0
389,389,0,951,7fffcec,2569,1268,0
390,390,0,588,7fffcf6,2521,1250,0
391,391,0,-588,7fffd08,2496,1251,0
392,392,0,-951,7fffd15,2445,1239,0
393,393,0,0,7fffd1c,2407,1237,0
394,394,0,951,7fffd29,2368,1230,0
395,395,0,588,7fffd32,2327,1230,0
396,396,0,-588,7fffd46,2303,1222,0
397,397,0,-951,7fffd4b,2261,1206,0
398,398,0,0,7fffd54,2232,1200,0
399,399,0,951,7fffd69,2204,1193,0
400,400,0,588,7fffd64,2173,1191,0
401,401,0,-588,7fffd77,2143,1184,0
402,402,0,0,7fffd80,2119,1174,0
403,403,0,951,7fffd93,2086,1178,0
404,404,0,588,7fffd8f,2069,1169,0
405,405,0,-588,7fffd9f,2035,1161,0
406,406,0,-951,7fffdbb,2017,1163,0
407,407,0,0,7fffdad,1980,1150,0
408,408,0,951,7fffdbb,1969,1151,0
409,409,0,588,7fffdc0,1940,1142,0
410,410,0,-588,7fffdcd,1928,1140,0
411,411,0,-951,7fffdd3,1902,1139,0
412,412,0,0,7fffdd7,1884,1128,0
413,413,0,951,7fffde8,1867,1123,0
414,414,0,588,7fffdef,1842,1123,0
415,415,0,-588,7fffdf2,1833,1109,0
416,416,0,-951,7fffdfd,1805,1115,0
417,417,0,0,7fffe08,1788,1106,0
418,418,0,951,7fffe18,1773,1102,0
419,419,0,588,7fffe20,1757,1093,0
420,420,0,-588,7fffe22,1738,1090,0
421,421,0,-951,7fffe27,1714,1090,0
422,422,0,0,7fffe2c,1704,1090,0
423,423,0,951,7fffe33,1684,1083,0
424,424,0,588,7fffe3b,1678,1079,0
425,425,0,-588,7fffe41,1663,1076,0
426,426,0,-951,7fffe4a,1658,1075,0
427,427,0,0,7fffe53,1638,1062,0
428,428,0,951,7fffe5c,1619,1071,0
429,429,0,588,7fffe64,1608,1063,0
430,430,0,-588,7fffe5f,1589,1060,0
431,431,0,-951,7fffe6c,1590,1065,0
432,432,0,0,7fffe77,1572,1058,0
433,433,0,951,7fffe78,1557,1049,0
434,434,0,588,7fffe82,1551,1056,0
435,435,0,-588,7fffe8d,1543,1047,0
436,436,0,-951,7fffe8c,1526,1039,0
437,437,0,0,7fffe97,1514,1038,0
438,438,0,951,7fffea2,1508,1031,0
439,439,0,588,7fffe94,1501,1029,0
440,440,0,-588,7fffea9,1489,1027,0
441,441,0,-951,7fffeab,1480,1027,0
442,442,0,0,7fffeb6,1476,1026,0
443,443,0,951,7fffebf,1463,1024,0
444,444,0,588,7fffebc,1449,1026,0
445,445,0,-588,7fffec2,1445,1014,0
446,446,0,-951,7fffed3,1429,1026,0
447,447,0,0,7fffed6,1430,1016,0
448,448,0,951,7fffece,1415,1020,0
449,449,0,588,7fffed8,1403,1010,0
450,450,0,-588,7fffee5,1390,1003,0
451,451,0,-951,7fffee7,1386,1002,0
452,452,0,0,7fffee6,1384,1004,0
453,453,0,951,7fffeef,1381,1002,0
454,454,0,588,7fffef3,1370,998,0
455,455,0,-588,7fffefc,1362,999,0
456,456,0,-951,7ffff01,1357,998,0
457,457,0,0,7ffff00,1352,994,0
458,458,0,951,7ffff0b,1333,985,0
459,459,0,588,7ffff14,1339,993,0
460,460,0,-588,7ffff12,1327,995,0
461,461,0,-951,7ffff1c,1326,991,0
462,462,0,0,7ffff1d,1326,980,0
463,463,0,951,7ffff1d,1314,988,0
464,464,0,588,7ffff2b,1304,993,0
465,465,0,-588,7ffff2a,1308,984,0
466,466,0,-951,7ffff37,1293,981,0
467,467,0,0,7ffff35,1285,978,0
468,468,0,951,7ffff38,1279,973,0
469,469,0,588,7ffff40,1267,981,0
470,470,0,-588,7ffff49,1271,981,0
471,471,0,-951,7ffff49,1260,976,0
472,472,0,0,7ffff49,1260,978,0
473,473,0,951,7ffff56,1255,974,0
474,474,0,588,7ffff52,1249,974,0
475,475,0,-588,7ffff57,1252,977,0
476,476,0,-951,7ffff5d,1237,967,0
477,477,0,0,7ffff66,1245,968,0
478,478,0,951,7ffff6b,1233,970,0
479,479,0,588,7ffff6a,1240,966,0
480,480,0,-588,7ffff76,1226,969,0
481,481,0,-951,7ffff77,1213,968,0
482,482,0,0,7ffff80,1212,964,0
483,483,0,951,7ffff84,1214,963,0
484,484,0,588,7ffff7b,1209,962,0
485,485,0,-588,7ffff8b,1203,961,0
486,486,0,-951,7ffff92,1202,960,0
487,487,0,0,7ffff94,1199,964,0
488,488,0,951,7ffff97,1195,967,0
489,489,0,588,7ffff9c,1182,958,0
490,490,0,-588,7ffffa3,1188,958,0
491,491,0,-951,7ffffa8,1191,961,0
492,492,0,0,7ffffa7,1184,959,0
493,493,0,951,7ffffa6,1171,960,0
494,494,0,588,7ffffbb,1180,960,0
495,495,0,-588,7ffffbf,1182,956,0
496,496,0,-951,7ffffb3,1172,965,0
497,497,0,0,7ffffbb,1166,956,0
498,498,0,951,7ffffbb,1163,944,0
499,499,0,588,7ffffc2,1156,961,0
500,500,0,-588,7ffffcd,1164,958,0
501,501,0,-951,7ffffcc,1162,955,0
502,502,0,0,7ffffda,1156,955,0
503,503,0,951,7ffffd8,1159,953,0
504,504,0,588,7ffffdf,1151,951,0
505,505,0,-588,7ffffe0,1152,946,0
506,506,0,-951,7ffffe7,1154,964,0
507,507,0,0,7ffffe3,1142,955,0
508,508,0,951,7ffffe1,1141,946,0
509,509,0,588,7fffff1,1143,953,0
510,510,0,-588,7fffff0,1138,950,0
511,511,0,-951,7fffffa,1139,960,0
512,512,1,0,7ffffff,1138,954,1
513,513,0,951,0000000,1132,951,0
514,514,0,588,7ffff8e,1131,823,0
515,515,0,-588,7ffff88,1131,825,0
516,516,0,-951,7ffff91,1127,826,0
517,517,0,0,7fffff6,1125,921,0
518,518,0,951,7fffff6,1129,926,0
519,519,0,588,7fffff0,1132,920,0
520,520,0,-588,0000001,1121,919,0
521,521,0,-951,0000002,1120,922,0
522,522,0,0,7fffffe,1123,924,0
523,523,0,951,0000015,1121,926,0
524,524,0,588,0000010,1122,923,0
525,525,0,-588,0000019,1120,923,0
526,526,0,-951,000001c,1116,923,0
527,527,0,0,000001a,1127,923,0
528,528,0,951,0000024,1116,921,0
529,529,0,588,000003d,1102,946,0
530,530,0,-588,000003d,1121,945,0
531,531,0,-951,000004a,1117,945,0
532,532,0,0,0000044,1113,953,0
533,533,0,951,000004f,1113,952,0
534,534,0,588,0000052,1110,949,0
535,535,0,-588,0000054,1108,943,0
536,536,0,-951,000005e,1102,950,0
537,537,0,0,000005b,1123,951,0
538,538,0,951,0000063,1112,955,0
539,539,0,588,0000066,1102,951,0
540,540,0,-588,000006a,1110,957,0
541,541,0,-951,000006e,1106,955,0
542,542,0,0,0000079,1118,949,0
543,543,0,951,000007d,1111,948,0
544,544,0,588,000007e,1107,956,0
545,545,0,-588,0000083,967,957,0
546,546,0,-951,0000088,970,967,0
547,547,0,0,000008f,970,960,0
548,548,0,951,0000089,1072,964,0
549,549,0,588,0000094,1078,963,0
550,550,0,-588,0000097,1071,970,0
551,551,0,-951,00000a1,1070,968,0
552,552,0,0,00000a7,1073,970,0
553,553,0,951,00000aa,1076,969,0
554,554,0,588,00000a7,1078,961,0
555,555,0,-588,00000bc,1074,964,0
556,556,0,-951,00000b3,1075,970,0
557,557,0,0,00000bd,1075,968,0
558,558,0,951,00000be,1075,987,0
559,559,0,588,00000ca,1073,967,0
560,560,0,-588,00000cb,1104,979,0
561,561,0,-951,00000cf,1103,973,0
562,562,0,0,00000d6,1104,980,0
563,563,0,951,00000d2,1112,978,0
564,564,0,588,00000dc,1112,976,0
565,565,0,-588,00000de,1109,984,0
566,566,0,-951,00000ee,1102,987,0
567,567,0,0,00000ea,1111,986,0
568,568,0,951,00000f6,1112,981,0
569,569,0,588,00000f4,1118,987,0
570,570,0,-588,00000f7,1114,990,0
571,571,0,-951,0000102,1121,999,0
572,572,0,0,000010a,1119,998,0
573,573,0,951,000010a,1114,999,0
574,574,0,588,0000114,1113,999,0
575,575,0,-588,0000117,1123,1006,0
576,576,0,-951,0000113,1125,1011,0
577,577,0,0,0000127,1137,1008,0
578,578,0,951,0000126,1130,1015,0
579,579,0,588,000012f,1133,1010,0
580,580,0,-588,000013a,1134,1014,0
581,581,0,-951,000013d,1143,1018,0
582,582,0,0,0000148,1143,1018,0
583,583,0,951,000013f,1146,1025,0
584,584,0,588,000014f,1145,1020,0
585,585,0,-588,0000155,1136,1028,0
586,586,0,-951,0000156,1143,1028,0
587,587,0,0,0000171,1149,1030,0
588,588,0,951,000016e,1148,1027,0
589,589,0,588,000016c,1170,1036,0
590,590,0,-588,0000171,1150,1042,0
591,591,0,-951,0000186,1164,1046,0
592,592,0,0,0000187,1158,1030,0
593,593,0,951,0000186,1168,1047,0
594,594,0,588,000018d,1164,1050,0
595,595,0,-588,000018c,1165,1053,0
596,596,0,-951,000019c,1174,1055,0
597,597,0,0,00001a1,1182,1061,0
598,598,0,951,000019d,1180,1064,0
599,599,0,588,00001b1,1177,1061,0
600,600,0,-588,00001bc,1183,1076,0
601,601,0,-951,00001b9,1188,1072,0
602,602,0,0,00001cc,1201,1075,0
603,603,0,951,00001d2,1203,1078,0
604,604,0,588,00001d5,1204,1090,0
605,605,0,-588,00001dd,1206,1088,0
606,606,0,-951,00001e4,1216,1095,0
607,607,0,0,00001eb,1220,1099,0
608,608,0,951,00001f5,1223,1100,0
609,609,0,588,00001f6,1230,1103,0
610,610,0,-588,0000200,1227,1109,0
611,611,0,-951,0000205,1236,1111,0
612,612,0,0,000020e,1241,1117,0
613,613,0,951,0000216,1245,1119,0
614,614,0,588,000021f,1250,1127,0
615,615,0,-588,0000226,1250,1120,0
616,616,0,-951,0000231,1261,1137,0
617,617,0,0,000023f,1261,1143,0
618,618,0,951,0000245,1274,1148,0
619,619,0,588,0000258,1270,1151,0
620,620,0,-588,0000257,1279,1161,0
621,621,0,-951,0000262,1287,1161,0
622,622,0,0,000026a,1300,1156,0
