Sample in Buffer,Sample in Window,TRIGGER,w_adc[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
366,366,0,951
367,367,0,1000
368,368,0,951
369,369,0,809
370,370,0,588
371,371,0,309
372,372,0,0
373,373,0,-309
374,374,0,-588
375,375,0,-809
376,376,0,-951
377,377,0,-1000
378,378,0,-951
379,379,0,-809
380,380,0,-588
381,381,0,-309
382,382,0,0
383,383,0,309
384,384,0,588
385,385,0,809
386,386,0,951
387,387,0,1000
388,388,0,951
389,389,0,809
390,390,0,588
391,391,0,309
392,392,0,0
393,393,0,-309
394,394,0,-588
395,395,0,-809
396,396,0,-951
397,397,0,-1000
398,398,0,-951
399,399,0,-809
400,400,0,-588
401,401,0,-309
402,402,0,0
403,403,0,309
404,404,0,588
405,405,0,809
406,406,0,951
407,407,0,1000
408,408,0,951
409,409,0,809
410,410,0,588
411,411,0,309
412,412,0,0
413,413,0,-309
414,414,0,-588
415,415,0,-809
416,416,0,-951
417,417,0,-1000
418,418,0,-951
419,419,0,-809
420,420,0,-588
421,421,0,-309
422,422,0,0
423,423,0,309
424,424,0,588
425,425,0,809
426,426,0,951
427,427,0,1000
428,428,0,951
429,429,0,809
430,430,0,588
431,431,0,309
432,432,0,0
433,433,0,-309
434,434,0,-588
435,435,0,-809
436,436,0,-951
437,437,0,-1000
438,438,0,-951
439,439,0,-809
440,440,0,-588
441,441,0,-309
442,442,0,0
443,443,0,309
444,444,0,588
445,445,0,809
446,446,0,951
447,447,0,1000
448,448,0,951
449,449,0,809
450,450,0,588
451,451,0,309
452,452,0,0
453,453,0,-309
454,454,0,-588
455,455,0,-809
456,456,0,-951
457,457,0,-1000
458,458,0,-951
459,459,0,-809
460,460,0,-588
461,461,0,-309
462,462,0,0
463,463,0,309
464,464,0,588
465,465,0,809
466,466,0,951
467,467,0,1000
468,468,0,951
469,469,0,809
470,470,0,588
471,471,0,309
472,472,0,0
473,473,0,-309
474,474,0,-588
475,475,0,-809
476,476,0,-951
477,477,0,-1000
478,478,0,-951
479,479,0,-809
480,480,0,-588
481,481,0,-309
482,482,0,0
483,483,0,309
484,484,0,588
485,485,0,809
486,486,0,951
487,487,0,1000
488,488,0,951
489,489,0,809
490,490,0,588
491,491,0,309
492,492,0,0
493,493,0,-309
494,494,0,-588
495,495,0,-809
496,496,0,-951
497,497,0,-1000
498,498,0,-951
499,499,0,-809
500,500,0,-588
501,501,0,-309
502,502,0,0
503,503,0,309
504,504,0,588
505,505,0,809
506,506,0,951
507,507,0,1000
508,508,0,951
509,509,0,809
510,510,0,588
511,511,0,309
512,512,1,0
513,513,0,-309
514,514,0,-588
515,515,0,-809
516,516,0,-951
517,517,0,-1000
518,518,0,-951
519,519,0,-809
520,520,0,-588
521,521,0,-309
522,522,0,0
523,523,0,309
524,524,0,588
525,525,0,809
526,526,0,951
527,527,0,1000
528,528,0,951
529,529,0,809
530,530,0,588
531,531,0,309
532,532,0,0
533,533,0,-309
534,534,0,-588
535,535,0,-809
536,536,0,-951
537,537,0,-1000
538,538,0,-951
539,539,0,-809
540,540,0,-588
541,541,0,-309
542,542,0,0
543,543,0,309
544,544,0,588
545,545,0,809
546,546,0,951
547,547,0,1000
548,548,0,951
549,549,0,809
550,550,0,588
551,551,0,309
552,552,0,0
553,553,0,-309
554,554,0,-588
555,555,0,-809
556,556,0,-951
557,557,0,-1000
558,558,0,-951
559,559,0,-809
560,560,0,-588
561,561,0,-309
562,562,0,0
563,563,0,309
564,564,0,588
565,565,0,809
566,566,0,0
567,567,0,309
568,568,0,588
569,569,0,809
570,570,0,951
571,571,0,1000
572,572,0,951
573,573,0,809
574,574,0,588
575,575,0,309
576,576,0,0
577,577,0,-309
578,578,0,-588
579,579,0,-809
580,580,0,-951
581,581,0,-1000
582,582,0,-951
583,583,0,-809
584,584,0,-588
585,585,0,-309
586,586,0,0
587,587,0,309
588,588,0,588
589,589,0,809
590,590,0,951
591,591,0,1000
592,592,0,951
593,593,0,809
594,594,0,588
595,595,0,309
596,596,0,0
597,597,0,-309
598,598,0,-588
599,599,0,-809
600,600,0,-951
601,601,0,-1000
602,602,0,-951
603,603,0,-809
604,604,0,-588
605,605,0,-309
606,606,0,0
607,607,0,309
608,608,0,588
609,609,0,809
610,610,0,951
611,611,0,1000
612,612,0,951
613,613,0,809
614,614,0,588
615,615,0,309
616,616,0,0
617,617,0,-309
618,618,0,-588
619,619,0,-809
620,620,0,-951
621,621,0,-1000
622,622,0,-951
623,623,0,-809
624,624,0,-588
625,625,0,-309
626,626,0,0
627,627,0,309
628,628,0,588
629,629,0,809
630,630,0,951
631,631,0,1000
632,632,0,951
633,633,0,809
634,634,0,588
635,635,0,309
636,636,0,0
637,637,0,-309
638,638,0,-588
639,639,0,-809
640,640,0,-951
641,641,0,-1000
642,642,0,-951
643,643,0,-809
644,644,0,-588
645,645,0,-309
646,646,0,0
647,647,0,309
648,648,0,588
649,649,0,809
650,650,0,951
651,651,0,1000
652,652,0,951
653,653,0,809
654,654,0,588
655,655,0,309
656,656,0,0
657,657,0,-309
658,658,0,-588
659,659,0,-809
660,660,0,-951
661,661,0,-1000
662,662,0,-951
663,663,0,-809
664,664,0,-588
665,665,0,-309
666,666,0,0
667,667,0,309
668,668,0,588
669,669,0,809
670,670,0,951
671,671,0,1000
672,672,0,951
673,673,0,809
674,674,0,588
675,675,0,309
676,676,0,0
677,677,0,-309
678,678,0,-588
679,679,0,-809
680,680,0,-951
681,681,0,-1000
682,682,0,-951
683,683,0,-809
684,684,0,-588
685,685,0,-309
686,686,0,0
687,687,0,309
688,688,0,588
689,689,0,809
690,690,0,951
691,691,0,1000
692,692,0,951
693,693,0,809
694,694,0,588
695,695,0,309
696,696,0,0
697,697,0,-309
698,698,0,-588
699,699,0,-809
700,700,0,-951
701,701,0,-1000
702,702,0,-951
703,703,0,-809
704,704,0,-588
705,705,0,-309
706,706,0,0
707,707,0,309
708,708,0,588
709,709,0,809
710,710,0,951
711,711,0,1000
712,712,0,951
713,713,0,809
714,714,0,588
715,715,0,309
716,716,0,0
717,717,0,-309
718,718,0,-588
719,719,0,-809
720,720,0,-951
721,721,0,-1000
722,722,0,-951
723,723,0,-809
724,724,0,-588
725,725,0,-309
726,726,0,0
727,727,0,309
728,728,0,588
729,729,0,809
730,730,0,951
731,731,0,1000
732,732,0,951
733,733,0,809
734,734,0,588
735,735,0,309
736,736,0,0
737,737,0,-309
738,738,0,-588
739,739,0,-809
740,740,0,-951
741,741,0,-1000
742,742,0,-951
743,743,0,-809
744,744,0,-588
745,745,0,-309
746,746,0,0
747,747,0,309
748,748,0,588
749,749,0,809
750,750,0,951
751,751,0,1000
752,752,0,951
753,753,0,809
754,754,0,588
755,755,0,309
756,756,0,0
757,757,0,-309
758,758,0,-588
759,759,0,-809
760,760,0,-951
761,761,0,-1000
762,762,0,-951
763,763,0,-809
764,764,0,-588
765,765,0,-309
766,766,0,0
767,767,0,309
768,768,0,588
769,769,0,809
770,770,0,951
771,771,0,1000
772,772,0,951
773,773,0,809
774,774,0,588
775,775,0,309
776,776,0,0
777,777,0,-309
778,778,0,-588
779,779,0,-809
780,780,0,-951
781,781,0,-1000
782,782,0,-951
783,783,0,-809
784,784,0,-588
785,785,0,-309
786,786,0,0
787,787,0,309
788,788,0,588
789,789,0,809
790,790,0,951
791,791,0,1000
792,792,0,951
793,793,0,809
794,794,0,588
795,795,0,309
796,796,0,0
797,797,0,-309
798,798,0,-588
799,799,0,-809
800,800,0,-951
801,801,0,-1000
802,802,0,-951
803,803,0,-809
804,804,0,-588
805,805,0,-309
806,806,0,0
807,807,0,309
808,808,0,588
809,809,0,809
810,810,0,951
811,811,0,1000
812,812,0,951
813,813,0,809
814,814,0,588
815,815,0,309
816,816,0,0
817,817,0,-309
818,818,0,-588
819,819,0,-809
820,820,0,-951
821,821,0,-1000
822,822,0,-951
823,823,0,-809
824,824,0,-588
825,825,0,-309
826,826,0,0
827,827,0,309
828,828,0,588
829,829,0,809
830,830,0,951
831,831,0,1000
832,832,0,951
833,833,0,809
834,834,0,588
835,835,0,309
836,836,0,0
837,837,0,-309
838,838,0,-588
839,839,0,-809
840,840,0,-951
841,841,0,-1000
842,842,0,-951
843,843,0,-809
844,844,0,-588
845,845,0,-309
846,846,0,0
847,847,0,309
848,848,0,588
849,849,0,809
850,850,0,951
851,851,0,1000
852,852,0,951
853,853,0,809
854,854,0,588
855,855,0,309
856,856,0,0
857,857,0,-309
858,858,0,-588
859,859,0,-809
860,860,0,-951
861,861,0,-1000
862,862,0,-951
863,863,0,-809
864,864,0,-588
865,865,0,-309
866,866,0,0
867,867,0,309
868,868,0,588
869,869,0,809
870,870,0,951
871,871,0,1000
872,872,0,951
873,873,0,809
874,874,0,588
875,875,0,309
876,876,0,0
877,877,0,-309
878,878,0,-588
879,879,0,-809
880,880,0,-951
881,881,0,-1000
882,882,0,-951
883,883,0,-809
884,884,0,-588
885,885,0,-309
886,886,0,0
887,887,0,309
888,888,0,588
889,889,0,809
890,890,0,951
891,891,0,1000
892,892,0,951
893,893,0,809
894,894,0,588
895,895,0,309
896,896,0,0
897,897,0,-309
898,898,0,-588
899,899,0,-809
900,900,0,-951
901,901,0,-1000
902,902,0,-951
903,903,0,-809
904,904,0,-588
905,905,0,-309
906,906,0,0
907,907,0,309
908,908,0,588
909,909,0,809
910,910,0,951
911,911,0,1000
912,912,0,951
913,913,0,809
914,914,0,588
915,915,0,309
916,916,0,0
917,917,0,-309
918,918,0,-588
919,919,0,-809
920,920,0,-951
921,921,0,-1000
922,922,0,-951
923,923,0,-809
924,924,0,-588
925,925,0,-309
926,926,0,0
927,927,0,309
928,928,0,588
929,929,0,809
930,930,0,951
931,931,0,1000
932,932,0,951
933,933,0,809
934,934,0,588
935,935,0,309
936,936,0,0
937,937,0,-309
938,938,0,-588
939,939,0,-809
940,940,0,-951
941,941,0,-1000
942,942,0,-951
943,943,0,-809
944,944,0,-588
945,945,0,-309
946,946,0,0
947,947,0,309
948,948,0,588
949,949,0,809
950,950,0,951
951,951,0,1000
952,952,0,951
953,953,0,809
954,954,0,588
955,955,0,309
956,956,0,0
957,957,0,-309
958,958,0,-588
959,959,0,-809
960,960,0,-951
961,961,0,-1000
962,962,0,-951
963,963,0,-809
964,964,0,-588
965,965,0,-309
966,966,0,0
967,967,0,309
968,968,0,588
969,969,0,809
970,970,0,951
971,971,0,1000
972,972,0,951
973,973,0,809
974,974,0,588
975,975,0,309
976,976,0,0
977,977,0,-309
978,978,0,-588
979,979,0,-809
980,980,0,-951
981,981,0,-1000
982,982,0,-951
983,983,0,-809
984,984,0,-588
985,985,0,-309
986,986,0,0
987,987,0,309
988,988,0,588
989,989,0,809
990,990,0,951
991,991,0,1000
992,992,0,951
993,993,0,809
994,994,0,588
995,995,0,309
996,996,0,0
997,997,0,-309
998,998,0,-588
999,999,0,-809
1000,1000,0,-951
1001,1001,0,-1000
1002,1002,0,-951
1003,1003,0,-809
1004,1004,0,-588
1005,1005,0,-309
1006,1006,0,0
1007,1007,0,309
1008,1008,0,588
1009,1009,0,809
1010,1010,0,951
1011,1011,0,1000
1012,1012,0,951
1013,1013,0,809
1014,1014,0,588
1015,1015,0,309
1016,1016,0,0
1017,1017,0,-309
1018,1018,0,-588
1019,1019,0,-809
1020,1020,0,-951
1021,1021,0,-1000
1022,1022,0,-951
1023,1023,0,-809
